date,store_nbr,family,sales,onpromotion
2016-01-01,1,BEVERAGES,0.0,0
2016-01-01,1,DAIRY,0.0,0
2016-01-01,1,GROCERY I,0.0,0
2016-01-02,1,BEVERAGES,1856.0,7
2016-01-02,1,DAIRY,627.0,15
2016-01-02,1,GROCERY I,2047.0,22
2016-01-03,1,BEVERAGES,1048.0,1
2016-01-03,1,DAIRY,382.0,7
2016-01-03,1,GROCERY I,1069.0,7
2016-01-04,1,BEVERAGES,3005.0,3
2016-01-04,1,DAIRY,983.0,12
2016-01-04,1,GROCERY I,3190.0,5
2016-01-05,1,BEVERAGES,2374.0,9
2016-01-05,1,DAIRY,932.0,14
2016-01-05,1,GROCERY I,2627.0,12
2016-01-06,1,BEVERAGES,2799.0,5
2016-01-06,1,DAIRY,1143.0,15
2016-01-06,1,GROCERY I,3330.0,5
2016-01-07,1,BEVERAGES,2248.0,0
2016-01-07,1,DAIRY,697.0,7
2016-01-07,1,GROCERY I,2500.0,2
2016-01-08,1,BEVERAGES,2208.0,1
2016-01-08,1,DAIRY,821.0,17
2016-01-08,1,GROCERY I,2985.0,4
2016-01-09,1,BEVERAGES,2360.0,0
2016-01-09,1,DAIRY,844.0,8
2016-01-09,1,GROCERY I,2427.0,6
2016-01-10,1,BEVERAGES,991.0,4
2016-01-10,1,DAIRY,368.0,8
2016-01-10,1,GROCERY I,1061.0,16
2016-01-11,1,BEVERAGES,2001.0,1
2016-01-11,1,DAIRY,802.0,11
2016-01-11,1,GROCERY I,2474.0,3
2016-01-12,1,BEVERAGES,2339.0,4
2016-01-12,1,DAIRY,809.0,6
2016-01-12,1,GROCERY I,3035.0,11
2016-01-13,1,BEVERAGES,2141.0,4
2016-01-13,1,DAIRY,848.0,9
2016-01-13,1,GROCERY I,2617.0,16
2016-01-14,1,BEVERAGES,2422.0,4
2016-01-14,1,DAIRY,808.0,14
2016-01-14,1,GROCERY I,2403.0,15
2016-01-15,1,BEVERAGES,2100.0,2
2016-01-15,1,DAIRY,757.0,12
2016-01-15,1,GROCERY I,2291.0,4
2016-01-16,1,BEVERAGES,2457.0,3
2016-01-16,1,DAIRY,872.0,9
2016-01-16,1,GROCERY I,2599.0,8
2016-01-17,1,BEVERAGES,1173.0,3
2016-01-17,1,DAIRY,444.0,7
2016-01-17,1,GROCERY I,1291.0,12
2016-01-18,1,BEVERAGES,2399.0,1
2016-01-18,1,DAIRY,875.0,12
2016-01-18,1,GROCERY I,2659.0,10
2016-01-19,1,BEVERAGES,1997.0,3
2016-01-19,1,DAIRY,762.0,12
2016-01-19,1,GROCERY I,2294.0,17
2016-01-20,1,BEVERAGES,2376.0,5
2016-01-20,1,DAIRY,960.0,12
2016-01-20,1,GROCERY I,2720.0,23
2016-01-21,1,BEVERAGES,1771.0,0
2016-01-21,1,DAIRY,576.0,0
2016-01-21,1,GROCERY I,2053.0,0
2016-01-22,1,BEVERAGES,2071.0,0
2016-01-22,1,DAIRY,888.0,3
2016-01-22,1,GROCERY I,2780.0,1
2016-01-23,1,BEVERAGES,2209.0,0
2016-01-23,1,DAIRY,778.0,0
2016-01-23,1,GROCERY I,2390.0,2
2016-01-24,1,BEVERAGES,956.0,0
2016-01-24,1,DAIRY,353.0,0
2016-01-24,1,GROCERY I,950.0,2
2016-01-25,1,BEVERAGES,2047.0,0
2016-01-25,1,DAIRY,805.0,0
2016-01-25,1,GROCERY I,2601.0,2
2016-01-26,1,BEVERAGES,1882.0,2
2016-01-26,1,DAIRY,741.0,0
2016-01-26,1,GROCERY I,2289.0,0
2016-01-27,1,BEVERAGES,2131.0,2
2016-01-27,1,DAIRY,893.0,0
2016-01-27,1,GROCERY I,2689.0,1
2016-01-28,1,BEVERAGES,1751.0,23
2016-01-28,1,DAIRY,709.0,0
2016-01-28,1,GROCERY I,2110.0,32
2016-01-29,1,BEVERAGES,2391.0,24
2016-01-29,1,DAIRY,761.0,3
2016-01-29,1,GROCERY I,2490.0,39
2016-01-30,1,BEVERAGES,2340.0,25
2016-01-30,1,DAIRY,821.0,0
2016-01-30,1,GROCERY I,2489.0,38
2016-01-31,1,BEVERAGES,1023.0,17
2016-01-31,1,DAIRY,415.0,0
2016-01-31,1,GROCERY I,1101.0,30
2016-02-01,1,BEVERAGES,2450.0,25
2016-02-01,1,DAIRY,809.0,0
2016-02-01,1,GROCERY I,2731.0,39
2016-02-02,1,BEVERAGES,1965.0,30
2016-02-02,1,DAIRY,771.0,0
2016-02-02,1,GROCERY I,2665.0,38
2016-02-03,1,BEVERAGES,2769.0,30
2016-02-03,1,DAIRY,902.0,0
2016-02-03,1,GROCERY I,3591.0,39
2016-02-04,1,BEVERAGES,2083.0,29
2016-02-04,1,DAIRY,685.0,0
2016-02-04,1,GROCERY I,2432.0,60
2016-02-05,1,BEVERAGES,2028.0,31
2016-02-05,1,DAIRY,821.0,3
2016-02-05,1,GROCERY I,2632.0,61
2016-02-06,1,BEVERAGES,2012.0,34
2016-02-06,1,DAIRY,685.0,0
2016-02-06,1,GROCERY I,2342.0,69
2016-02-07,1,BEVERAGES,639.0,17
2016-02-07,1,DAIRY,201.0,0
2016-02-07,1,GROCERY I,631.0,35
2016-02-08,1,BEVERAGES,531.0,17
2016-02-08,1,DAIRY,225.0,0
2016-02-08,1,GROCERY I,703.0,26
2016-02-09,1,BEVERAGES,742.0,20
2016-02-09,1,DAIRY,327.0,0
2016-02-09,1,GROCERY I,956.0,40
2016-02-10,1,BEVERAGES,2247.0,30
2016-02-10,1,DAIRY,934.0,0
2016-02-10,1,GROCERY I,2778.0,58
2016-02-11,1,BEVERAGES,2085.0,31
2016-02-11,1,DAIRY,747.0,0
2016-02-11,1,GROCERY I,2452.0,59
2016-02-12,1,BEVERAGES,2522.0,28
2016-02-12,1,DAIRY,894.0,3
2016-02-12,1,GROCERY I,2790.0,59
2016-02-13,1,BEVERAGES,2281.0,28
2016-02-13,1,DAIRY,808.0,0
2016-02-13,1,GROCERY I,2557.0,61
2016-02-14,1,BEVERAGES,974.0,22
2016-02-14,1,DAIRY,367.0,0
2016-02-14,1,GROCERY I,1117.0,48
2016-02-15,1,BEVERAGES,2239.0,27
2016-02-15,1,DAIRY,745.0,0
2016-02-15,1,GROCERY I,2566.0,62
2016-02-16,1,BEVERAGES,2539.0,7
2016-02-16,1,DAIRY,758.0,0
2016-02-16,1,GROCERY I,3345.0,24
2016-02-17,1,BEVERAGES,2313.0,7
2016-02-17,1,DAIRY,944.0,0
2016-02-17,1,GROCERY I,2891.0,23
2016-02-18,1,BEVERAGES,2012.0,5
2016-02-18,1,DAIRY,647.0,0
2016-02-18,1,GROCERY I,2394.0,31
2016-02-19,1,BEVERAGES,2371.0,6
2016-02-19,1,DAIRY,797.0,3
2016-02-19,1,GROCERY I,2860.0,29
2016-02-20,1,BEVERAGES,2760.0,8
2016-02-20,1,DAIRY,888.0,0
2016-02-20,1,GROCERY I,2747.0,31
2016-02-21,1,BEVERAGES,1211.0,5
2016-02-21,1,DAIRY,370.0,0
2016-02-21,1,GROCERY I,1200.0,17
2016-02-22,1,BEVERAGES,2353.0,7
2016-02-22,1,DAIRY,777.0,0
2016-02-22,1,GROCERY I,2453.0,20
2016-02-23,1,BEVERAGES,2115.0,5
2016-02-23,1,DAIRY,697.0,0
2016-02-23,1,GROCERY I,2451.0,18
2016-02-24,1,BEVERAGES,2097.0,7
